Letter,Thumb,Index,Middle,Ring,Pinky
E,0.172,0.198,0.231,0.308,0.197
E,0.178,0.215,0.247,0.304,0.193
E,0.157,0.238,0.255,0.317,0.203
E,0.179,0.219,0.237,0.301,0.208
F,0.443,0.412,0.652,0.544,0.529
F,0.447,0.363,0.658,0.562,0.553
F,0.437,0.318,0.646,0.533,0.521
F,0.434,0.308,0.652,0.549,0.54
F,0.426,0.351,0.658,0.525,0.542
F,0.438,0.366,0.639,0.526,0.562
F,0.444,0.35,0.642,0.528,0.526
F,0.436,0.37,0.659,0.534,0.554
F,0.441,0.349,0.648,0.543,0.554
F,0.438,0.38,0.629,0.519,0.54
F,0.435,0.363,0.658,0.547,0.556
F,0.436,0.357,0.645,0.544,0.525
F,0.442,0.412,0.646,0.526,0.53
F,0.442,0.425,0.637,0.518,0.534
F,0.435,0.438,0.645,0.539,0.529
F,0.427,0.36,0.65,0.508,0.542
F,0.432,0.322,0.655,0.534,0.529
F,0.411,0.425,0.649,0.529,0.538
F,0.434,0.421,0.661,0.559,0.558
F,0.38,0.411,0.636,0.528,0.538
F,0.347,0.4,0.647,0.526,0.539
F,0.348,0.43,0.643,0.43,0.537
F,0.385,0.412,0.648,0.507,0.533
F,0.377,0.434,0.641,0.52,0.528
F,0.34,0.397,0.597,0.531,0.517
G,0.463,0.552,0.348,0.351,0.303
G,0.496,0.543,0.305,0.315,0.245
G,0.521,0.575,0.305,0.318,0.262
G,0.503,0.58,0.622,0.341,0.251
G,0.541,0.57,0.282,0.322,0.228
G,0.468,0.575,0.336,0.391,0.264
G,0.494,0.557,0.289,0.322,0.243
G,0.523,0.542,0.304,0.325,0.271
G,0.538,0.546,0.297,0.329,0.268
G,0.507,0.563,0.32,0.338,0.236
G,0.528,0.558,0.321,0.33,0.266
G,0.529,0.545,0.318,0.313,0.268
G,0.541,0.508,0.307,0.361,0.193
G,0.527,0.555,0.299,0.309,0.232
G,0.558,0.554,0.308,0.297,0.237
G,0.512,0.554,0.293,0.321,0.258
G,0.54,0.55,0.293,0.322,0.266
G,0.546,0.553,0.291,0.313,0.241
G,0.581,0.553,0.297,0.322,0.247
G,0.556,0.567,0.296,0.313,0.254
G,0.549,0.557,0.286,0.29,0.248
G,0.561,0.557,0.294,0.305,0.264
